req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
488,11,36,cloud,227.72735723070218
487,121,359,cloud,521.3645791063755
490,32,80,cloud,267.7273818191461
489,330,344,cloud,507.7300031305349
491,13,181,cloud,359.5455079497624
493,30,99,cloud,285.0001225374872
492,5,371,cloud,532.2727697172522
494,588,3,cloud,197.73072009373573
495,147,241,cloud,414.09193426868296
498,640,39,cloud,230.46054631580773
497,710,95,cloud,281.36836763017345
496,30,265,cloud,435.909241922549
501,27,47,cloud,237.72740154137136
499,17,435,cloud,590.4546162398474
500,30,1026,cloud,1127.7275541356212
502,7,70,cloud,258.63640549540287
504,313,12,cloud,205.91123224800685
503,14,480,cloud,631.3637150042341
505,7,46,cloud,236.8182164710015
506,23,102,cloud,287.7273827230383
507,17,8,cloud,202.27286076440942
508,5,395,cloud,554.0909486951714
509,77,97,cloud,283.1824187973398
510,60,294,cloud,462.27316713306936
511,188,646,cloud,782.2741838490474
512,36,69,cloud,257.7273902929737
514,2,9,cloud,203.18183392865467
513,250,497,cloud,646.8205630921584
516,1,9,cloud,203.1818245643226
515,66,418,cloud,575.0005858910445
518,1,9,cloud,203.18182548534242
517,22,265,cloud,435.90928343476844
519,137,76,cloud,264.09216342502623
524,162,96,cloud,282.27364977277466
520,8,459,cloud,612.2728036901681
523,558,220,cloud,395.0031731558265
525,14,17,cloud,210.45459395713988
522,91,454,cloud,607.7277823370241
527,93,70,cloud,258.63684435383766
526,25,324,cloud,489.54561253404245
530,66,40,cloud,231.36411587431212
529,59,150,cloud,331.36384785934933
521,126,1332,cloud,1405.9100410648389
531,1,9,cloud,203.18182569969213
528,79,538,cloud,684.0913888571085
532,51,353,cloud,515.9092643928598
535,5,1,cloud,195.90911415586015
533,17,356,cloud,518.6365160647838
534,38,252,cloud,424.0911450057174
536,31,395,cloud,554.0911609155883
538,560,26,cloud,218.63961541515891
537,12,329,cloud,494.09095496090595
540,23,12,cloud,205.9091971864982
541,319,159,cloud,339.54830871798913
539,702,565,cloud,708.6397979548492
543,359,70,cloud,258.6383662142325
542,29,785,cloud,908.636617006443
545,62,284,cloud,453.1823227032146
544,323,396,cloud,555.0021615715523
546,684,70,cloud,258.6405290720577
548,54,31,cloud,223.18226637196494
547,82,162,cloud,342.2732803847175
549,220,161,cloud,341.3650491419248
550,55,221,cloud,395.9095385965484
551,7,9,cloud,203.18187075914466
553,6,27,cloud,219.54547693641507
554,2,7,cloud,201.3636520493601
556,52,185,cloud,363.1822277009487
555,9,293,cloud,461.36367806594353
552,28,802,cloud,924.0910806114262
558,37,16,cloud,209.54567403480178
559,34,2,cloud,196.8183660338982
557,53,722,cloud,851.3640119293414
561,26,37,cloud,228.6365303786588
560,10,162,cloud,342.2728073100443
563,63,16,cloud,209.54574347272865
564,54,235,cloud,408.6366871371865
562,223,538,cloud,684.0918609801156
566,104,167,cloud,346.8191065126739
565,11,207,cloud,383.1819218249875
567,490,282,cloud,451.36745581467403
570,2,11,cloud,205.00001393142156
568,22,489,cloud,639.5455941052933
569,6,460,cloud,613.1818707556231
571,20,11,cloud,205.00008265001816
572,37,4,cloud,198.63664531966788
573,78,7,cloud,201.36424042272847
575,1,9,cloud,203.1818228791526
574,83,446,cloud,600.4550697875675
576,31,455,cloud,608.6365202821617
577,388,74,cloud,262.27466939986334
578,3,118,cloud,302.27274643609417
579,24,110,cloud,295.0001634543587
581,47,296,cloud,464.09113652733504
580,63,745,cloud,872.2730885936471
582,11,474,cloud,625.909171180916
584,11,14,cloud,207.7273119665042
583,499,445,cloud,599.5496701965458
585,45,42,cloud,233.18213429002208
586,47,84,cloud,271.36384479361004
587,8,381,cloud,541.3637097316387
588,18,264,cloud,435.0001411306148
589,327,99,cloud,285.00107749766903
591,14,25,cloud,217.7274024663493
590,22,457,cloud,610.4546395065263
592,24,7,cloud,201.36382734612562
593,32,36,cloud,227.72743512733723
594,142,61,cloud,250.45556772951386
595,9,25,cloud,217.72733840180445
596,24,587,cloud,728.6365396459587
597,37,17,cloud,210.45487152179703
599,9,10,cloud,204.0909882732958
598,44,39,cloud,230.454812134878
600,29,38,cloud,229.54572116947384
602,23,37,cloud,228.63649081758922
601,19,654,cloud,789.5455872741004
603,17,142,cloud,324.09107046644203
604,520,114,cloud,298.64083050514455
605,74,76,cloud,264.09131969875307
606,18,130,cloud,313.1819714962912
607,8,72,cloud,260.4545870665752
608,37,150,cloud,331.3638536159706
609,14,18,cloud,211.36373019663733
610,4,232,cloud,405.9091113957111
611,7,7,cloud,201.36367246878217
612,8,21,cloud,214.09094128967263
613,18,284,cloud,453.18191097007366
615,16,194,cloud,371.36378530730144
617,23,20,cloud,213.1820236739295
614,14,379,cloud,539.5455095178331
616,145,479,cloud,630.4557967399887
618,35,524,cloud,671.363843217754
