req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
541,11,39,user,19213410.330329236
542,99,13,user,19216207.38797022
543,26,8,user,19218124.28529921
544,83,219,user,19255677.578261107
545,16,471,user,19336646.52570492
546,376,253,user,19379722.65156807
547,120,131,user,19402098.37712748
548,20,137,user,19425963.011137895
549,1,9,user,19428021.761580035
550,30,403,user,19497138.592731133
551,23,339,user,19555413.170504197
552,44,62,user,19565922.22096021
553,20,31,user,19571444.559624795
554,2,25,user,19576212.250001427
555,14,23,user,19580625.97166282
556,83,6,user,19582071.20474872
557,5,5,user,19583474.62441864
558,5,140,user,19607889.42525561
559,618,94,user,19623556.641330905
560,12,42,user,19631281.746531416
561,297,32,user,19637024.914126772
562,18,30,user,19642590.72215707
563,230,20,user,19645985.178271484
564,4,46,user,19654286.397499215
565,16,155,user,19681244.87908314
566,28,21,user,19684927.508800518
567,6,236,user,19725697.546359163
568,35,317,user,19780222.19434123
569,233,20,user,19784169.614800666
570,80,2,user,19784947.03446468
571,359,12,user,19787515.207204092
572,62,196,user,19821490.120221626
573,427,115,user,19841439.175726455
574,30,25,user,19845788.75402151
575,9,175,user,19876091.203448635
576,7,488,user,19959697.41784995
577,26,212,user,19995991.003162295
578,2,9,user,19998121.294830088
579,14,456,user,20076284.473531716
580,292,446,user,20152419.129736196
581,3,100,user,20169700.00268805
582,695,128,user,20192117.65011286
583,8,65,user,20203507.884250436
584,1,23,user,20207993.31056059
585,48,241,user,20249662.292448618
586,1,33,user,20255776.036935844
587,14,162,user,20283970.214919623
588,78,1,user,20284657.578263685
589,24,79,user,20298634.105734855
590,14,464,user,20377883.134650085
591,145,192,user,20411040.77153226
592,30,735,user,20536850.94914656
593,2,17,user,20539318.68041173
594,15,297,user,20590469.441300794
595,12,316,user,20644942.19425237
596,41,777,user,20777697.003694102
597,257,394,user,20845090.077051904
598,47,470,user,20925517.46078209
599,70,184,user,20957455.476874154
600,44,25,user,20961920.21251297
601,11,43,user,20969305.579702724
602,96,13,user,20971589.173437152
603,43,433,user,21045556.530667786
604,46,357,user,21107004.68033483
605,11,103,user,21124711.153146964
606,7,295,user,21175534.74940248
607,1,9,user,21177659.09406116
608,83,597,user,21280034.580724247
609,8,88,user,21295639.1968437
610,16,48,user,21304307.5440162
611,16,196,user,21338181.486848313
612,9,318,user,21392895.33372391
613,46,172,user,21422764.820519652
614,253,26,user,21427105.18391785
615,166,599,user,21529873.013959132
616,61,395,user,21597607.456704684
617,1,10,user,21599583.412769254
618,347,44,user,21607601.98998383
619,1,4,user,21608642.97424562
620,12,136,user,21632428.77136052
621,4,128,user,21654865.834466632
622,8,348,user,21714819.686955146
623,18,110,user,21733804.409529112
624,18,299,user,21785266.897164457
625,25,81,user,21799432.835343216
626,86,977,user,21966664.12018579
627,446,82,user,21980833.82734414
628,5,13,user,21983634.961668033
629,844,476,user,22065357.78405387
630,4,31,user,22070730.70216791
631,22,582,user,22170642.14068523
632,4,21,user,22174582.02654334
633,19,279,user,22222525.306233518
634,403,188,user,22254596.94082856
635,17,34,user,22260840.25228472
636,15,479,user,22343087.19869932
637,49,20,user,22347094.209399186
638,4,11,user,22349074.041233566
639,13,107,user,22367501.92362541
640,374,47,user,22375964.55037626
641,107,17,user,22379241.122376878
642,140,332,user,22435813.619206633
643,139,12,user,22438042.816990193
644,177,11,user,22440170.635155678
645,31,236,user,22480730.98995557
646,366,360,user,22542601.423489496
647,19,30,user,22548266.52281159
648,4,231,user,22587819.003752474
649,68,455,user,22665527.656216238
650,30,422,user,22738080.37879762
651,85,352,user,22798323.162725687
652,24,313,user,22851952.071948368
653,235,2,user,22852512.998470765
654,9,33,user,22858533.024942234
655,3,4,user,22859735.53791701
656,90,134,user,22882872.24474369
657,8,378,user,22947867.072680812
658,199,432,user,23022148.666524716
659,22,26,user,23026937.2007809
660,134,271,user,23073413.21364701
661,38,127,user,23095576.122912787
662,24,305,user,23147640.261568226
663,1,15,user,23150733.83726948
664,19,29,user,23155874.674589142
665,20,392,user,23222967.50917355
666,32,25,user,23227754.948794443
667,21,8,user,23229693.136814278
668,7,51,user,23238945.02987466
669,14,336,user,23296816.175802533
670,88,14,user,23298897.657122944
671,253,246,user,23340808.618663784
672,17,320,user,23395800.14625196
673,5,22,user,23400015.41210552
674,209,112,user,23419309.463360954
675,192,111,user,23438849.466878343
676,6,26,user,23443720.52732623
677,11,112,user,23463373.58356309
678,42,493,user,23547960.192254826
679,6,1,user,23548694.070730276
680,83,34,user,23554839.16937137
681,976,694,user,23673458.71315963
682,4,187,user,23705684.562866334
683,2,19,user,23709190.326510634
684,17,503,user,23795487.974986754
685,16,23,user,23799825.697121724
686,1,9,user,23801751.36725927
687,25,159,user,23829473.992251042
688,23,12,user,23832035.901162565
689,227,99,user,23849402.379133154
690,11,339,user,23907852.086000644
691,1,9,user,23909624.328747313
692,25,6,user,23911121.210221164
693,4,6,user,23912607.421445422
694,11,273,user,23959658.45481681
695,47,508,user,24046724.78214309
696,277,236,user,24087374.412744448
697,285,222,user,24125565.769859504
698,23,277,user,24173312.50407928
699,57,17,user,24176642.541763786
700,801,845,user,24320718.36695653
701,24,266,user,24365924.301951528
702,4,293,user,24415592.889331415
703,1,36,user,24421837.686126344
704,20,110,user,24440868.203029346
705,10,202,user,24475457.69229478
706,20,150,user,24501579.20159989
707,55,209,user,24537644.67968404
708,26,23,user,24542107.974872064
709,332,29,user,24547601.586492352
710,93,30,user,24553296.701268338
711,4,148,user,24579112.21158289
712,256,472,user,24660026.382602036
713,620,75,user,24673346.71385121
714,17,167,user,24702215.91559536
715,2,19,user,24705990.860533044
716,17,424,user,24778841.971242845
717,463,707,user,24899994.925443433
718,15,56,user,24909839.4235406
719,48,64,user,24921098.406101733
720,9,84,user,24934916.839022115
721,8,8,user,24936815.020270277
722,36,382,user,25002494.404498994
723,140,225,user,25041075.378950067
724,89,431,user,25114860.416696787
725,850,24,user,25119411.865371525
726,307,2,user,25120134.532641575
727,3,9,user,25122113.26641895
728,33,206,user,25157511.07550503
729,10,1,user,25158146.00305324
730,20,156,user,25185151.28214335
731,594,641,user,25294934.41341303
732,280,359,user,25356542.313068416
733,1,441,user,25431788.650830075
734,4,31,user,25437534.922588848
735,15,40,user,25444299.963447418
736,469,16,user,25447475.039935324
737,16,341,user,25506170.79866767
738,607,509,user,25593596.333838746
739,17,84,user,25608439.593966562
740,37,59,user,25619043.227548573
741,428,511,user,25706832.74449836
742,23,415,user,25778250.232175842
743,19,376,user,25842831.81978923
744,17,385,user,25908654.875584867
745,6,412,user,25979077.086628735
746,30,8,user,25980811.48987285
747,31,75,user,25994104.062215917
748,231,237,user,26034913.432449438
749,263,95,user,26051277.60260351
750,6,35,user,26057690.277009655
751,427,210,user,26093912.479639344
752,16,109,user,26112247.06931407
753,17,70,user,26124533.10603707
754,349,252,user,26167987.631396484
755,169,490,user,26252151.60692261
756,9,172,user,26281224.892032564
757,66,1,user,26281953.687800035
758,309,137,user,26305697.25766411
759,20,1,user,26305594.037430767
760,7,296,user,26356379.86867095
761,6,52,user,26365761.60678814
762,24,13,user,26367996.699563563
763,37,575,user,26465962.58075585
764,17,131,user,26488794.44620513
765,1,1,user,26489113.521961775
766,27,342,user,26547248.377380285
767,12,391,user,26614459.465661082
768,2,34,user,26620669.061667245
769,13,103,user,26638597.50965811
770,21,24,user,26643261.58879786
771,8,291,user,26693411.624485146
772,10,64,user,26704602.377391383
773,6,247,user,26746809.92261964
774,55,237,user,26787773.75273253
775,3,123,user,26809025.36138771
776,37,52,user,26818476.110380933
777,18,74,user,26831576.894717526
