req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
446,32,95,edge,2307017.491237596
447,118,506,edge,2319695.975783878
448,83,227,edge,2325657.374807438
449,34,327,edge,2333050.0766849173
450,17,213,edge,2338626.8144562254
451,75,584,edge,2353318.676715665
452,11,293,edge,2360932.152182066
453,49,607,edge,2375765.0386427166
454,14,427,edge,2386617.1479669246
455,271,37,edge,2387341.3158960333
456,33,606,edge,2402750.3376353025
457,19,96,edge,2405426.0757280253
458,45,347,edge,2413767.734698669
459,204,1,edge,2413534.1546614706
460,6,37,edge,2414600.647469549
461,9,120,edge,2417831.17430387
462,13,194,edge,2422217.399737198
463,16,458,edge,2433662.213958371
464,13,128,edge,2436909.1523006796
465,11,15,edge,2436790.6851207744
466,1,36,edge,2437922.0737993475
467,6,103,edge,2440781.478618206
468,25,313,edge,2448682.74401871
469,5,388,edge,2458599.5180289666
470,4,39,edge,2459312.4579814225
471,33,36,edge,2460220.151408508
472,229,91,edge,2462280.1322219344
473,4,1,edge,2462136.6834034743
474,10,218,edge,2467705.9124872307
475,4,15,edge,2468309.6016101497
476,31,109,edge,2471306.7323258133
477,2,10,edge,2471435.3560049073
478,37,718,edge,2489468.401133057
479,28,377,edge,2498926.35062026
480,16,463,edge,2510773.65621684
481,162,171,edge,2515139.3962991526
482,24,252,edge,2521663.2778556193
483,35,70,edge,2523517.561095526
484,31,56,edge,2524284.016929838
485,16,25,edge,2525126.5427828194
486,10,57,edge,2526739.708392756
487,144,475,edge,2538638.2227754416
488,18,429,edge,2548227.2145054247
489,87,246,edge,2554161.1236495734
490,33,14,edge,2554615.7483409992
491,40,359,edge,2563727.440946931
492,108,110,edge,2566774.240295774
493,38,48,edge,2567856.107349033
494,25,572,edge,2582257.674403582
495,45,1060,edge,2608835.0942522804
496,8,244,edge,2615079.024900043
497,165,110,edge,2617241.913692976
498,4,7,edge,2617446.769248016
499,82,330,edge,2625469.254906153
500,22,17,edge,2626084.209326755
501,1,7,edge,2626049.317285585
502,3,38,edge,2627234.364245838
503,268,291,edge,2634709.420480555
504,16,247,edge,2640421.1902054865
505,26,82,edge,2642658.8334226995
506,87,2,edge,2642878.0432755565
507,10,108,edge,2645675.094827783
508,46,4,edge,2646040.629128897
509,28,18,edge,2646669.437978483
510,6,143,edge,2650472.6511175316
511,8,343,edge,2658956.545282198
512,8,12,edge,2658614.97444438
513,6,13,edge,2658804.9047308774
514,1,1,edge,2659070.6068217726
515,3,1,edge,2659350.405469606
516,11,15,edge,2659362.124345119
517,17,22,edge,2660073.6236627367
518,6,218,edge,2665568.4194151917
519,39,25,edge,2665808.730729132
520,310,2,edge,2665627.227082581
521,676,219,edge,2671078.729347477
522,4,21,edge,2671698.6143233064
523,24,743,edge,2690452.7848159485
524,2,9,edge,2690911.2351631834
525,10,111,edge,2693891.960663142
526,88,65,edge,2695686.1918811267
527,22,668,edge,2712476.8878406296
528,15,374,edge,2722093.074032099
529,308,108,edge,2724813.4274826627
530,53,90,edge,2727253.777456114
531,6,227,edge,2733194.35002317
532,39,52,edge,2734706.180898004
533,23,475,edge,2746865.643736536
534,11,120,edge,2750125.8358774064
535,17,1271,edge,2781761.340619394
536,33,1022,edge,2807537.130718929
537,12,424,edge,2818100.2178557366
538,4,566,edge,2832412.7041005665
539,844,476,edge,2844442.1867050696
540,25,152,edge,2847885.7990185455
541,14,428,edge,2858698.4799087713
542,146,50,edge,2859999.0358757474
543,33,625,edge,2875644.1980178324
544,13,83,edge,2876797.7400939018
545,39,2,edge,2876677.896919388
